apt_name,price,address,station_distance,area,floor_plan,balcony,year
コープ戸山台,6250万円,東京都新宿区戸山１,東京メトロ東西線「早稲田」徒歩4分,61.4m2（壁芯）,2LDK+S（納戸）,-,1968年4月
メゾンルグラン本郷,6280万円,東京都文京区本郷３,東京メトロ丸ノ内線「本郷三丁目」徒歩5分,61.51m2（壁芯）,2LDK,4.9m2,1980年7月
スカイエスタ,6280万円,東京都新宿区西早稲田２-18-23,東京メトロ副都心線「西早稲田」徒歩5分,60.15m2（18.19坪）,2LDK,3.6m2,1992年7月
ジュイール文京白山,6280万円,東京都文京区白山２,都営三田線「白山」徒歩5分,41.18m2（壁芯）,1LDK,4.18m2,2011年1月
エクセレント三越前,6280万円,東京都中央区日本橋小舟町,東京メトロ銀座線「三越前」徒歩5分,37.21m2（壁芯）,1DK,4.44m2,2000年7月
クオリア恵比寿サウス,6299万円,東京都渋谷区恵比寿南２,東京メトロ日比谷線「恵比寿」徒歩4分,35.41m2（壁芯）,1LDK,7.53m2,2003年9月
クオリア恵比寿サウス,6299万円,東京都渋谷区恵比寿南２,東京メトロ日比谷線「恵比寿」徒歩4分,35.41m2（壁芯）,1LDK,7m2,2003年9月
パークハウス文京関口,6300万円,東京都文京区関口１,東京メトロ有楽町線「江戸川橋」徒歩2分,40.67m2（12.30坪）（壁芯）,1DK,5.64m2,2010年10月
グレーシア勝どき,6300万円,東京都中央区勝どき４,都営大江戸線「勝どき」徒歩2分,40.72m2（12.31坪）（壁芯）,1LDK,4.21m2,2014年10月
パレドール原宿,6480万円,東京都渋谷区神宮前２-30-7,ＪＲ山手線「原宿」徒歩10分,57.64m2（17.43坪）（壁芯）,1LDK,-,1978年8月
ライオンズマンション初台,6480万円,東京都渋谷区初台１,京王新線「初台」徒歩1分,54m2（壁芯）,1LDK,5.4m2,1978年2月
メロディーハイム銀座東,6480万円,東京都中央区湊３,東京メトロ有楽町線「新富町」徒歩4分,44.72m2（壁芯）,1LDK,6.52m2,1999年2月
